INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,longitude,latitude,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID
2009621632.0,2009621632544100,5441,0,traffic-accident,traffic-accident,2009-10-27 18:02:59,,2009-10-27 18:02:59,,3153903.0,1668506.0,-104.9532964,39.667575,3,313,wellshire
2009614250.0,2009614250544100,5441,0,traffic-accident,traffic-accident,2009-10-23 14:04:59,,2009-10-23 14:04:59,N COLORADO BLVD / E 6TH AVE,3157321.0,1689663.0,-104.9406923,39.7255984,3,312,cherry-creek
2009581697.0,2009581697544100,5441,0,traffic-accident,traffic-accident,2009-10-05 06:34:59,,2009-10-05 09:04:00,I25 HWYSB / E UNION AVE,3167745.0,1654375.0,-104.9044564,39.6285428,3,323,southmoor-park
2009581835.0,2009581835544100,5441,0,traffic-accident,traffic-accident,2009-10-05 08:48:59,,2009-10-05 10:24:00,E COLFAX AVE / N HIGH ST,3150518.0,1694868.0,-104.9647688,39.7399996,6,622,cheesman-park
2010108140.0,2010108140544100,5441,0,traffic-accident,traffic-accident,2010-03-06 19:54:00,,2010-03-06 20:23:59,N COLORADO BLVD / E MLK BLVD,3157270.0,1702878.0,-104.9405844,39.7618766,2,213,skyland
2009630700.0,2009630700544100,5441,0,traffic-accident,traffic-accident,2009-11-02 08:51:00,,2009-11-02 08:51:00,I25 HWYNB / W 6TH AVE,3136918.0,1689574.0,-105.0132293,39.7256765,1,123,baker
2009585738.0,2009585738544100,5441,0,traffic-accident,traffic-accident,2009-10-07 13:27:00,,2009-10-07 13:27:00,E 11TH AVE / N VERBENA ST,3171394.0,1692396.0,-104.8905963,39.7328525,3,321,lowry-field
2009706944.0,2009706944542000,5420,0,traffic-accident-dui-duid,traffic-accident,2009-12-17 19:21:59,,2009-12-17 19:54:59,S LOWELL BLVD / W JEWELL AVE,3131051.0,1673710.0,-105.0343763,39.6822108,4,421,harvey-park
2009707633.0,2009707633544100,5441,0,traffic-accident,traffic-accident,2009-12-18 07:50:00,,2009-12-18 07:54:59,E MISSISSIPPI AVE / S WASHINGTON ST,3146548.0,1679045.0,-104.979208,39.6966256,3,311,washington-park-west
2009707756.0,2009707756544100,5441,0,traffic-accident,traffic-accident,2009-12-18 09:27:00,,2009-12-18 09:43:59,800 BLK W ALAMEDA AVE,3141600.0,1684298.0,-104.9966881,39.7111228,3,311,baker
